"  Слово (Гипоним)","Гипероним","Текст","Ссылка","","Табличка для пары гипоним-гипероним"
"МЕЛЬХИОР","Сплав","Мельхиор— однофазный сплав меди с никелем, иногда с добавками железа и марганца, получивший своё название по именам французских изобретателей из Лиона Майо (Maillot) и Шорье (Chorier), которые создали свой сплав в 1819 году.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D1%8C%D1%85%D0%B8%D0%BE%D1%80","",""
"МЕЛЬХИОР","Твердые растворы","Сплавы типа мельхиора представляют собой твердые растворы, поэтому они хорошо обрабатываются в холодном и горячем состояниях.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D1%8C%D1%85%D0%B8%D0%BE%D1%80","",""
"МЕЛЬХИОР","Металл","Мельхиор  очень древний металл, который был известен ещё в 3 веке до н.э. ","https://milady-24.ru/info/ukrasheniya-iz-melhiora.html","",""
"МЕЛЬХИОР","Серебро","Мельхиор широко распространён по всему миру. Во многих странах его называют «немецкое серебро»","https://milady-24.ru/info/ukrasheniya-iz-melhiora.html","",""
"МЕЛЬХИОР","Соединение","Основные свойства мельхиора – высокая прочность получаемого соединения, пластичность и коррозионная устойчивость к агрессивным средам, в частности, к морской воде. ","https://stankiexpert.ru/spravochnik/materialovedenie/melkhior.html","",""
"МЕМУАРИСТ","Автор","Мемуарист - автор мемуаров","https://ru.wiktionary.org/wiki/%D0%BC%D0%B5%D0%BC%D1%83%D0%B0%D1%80%D0%B8%D1%81%D1%82","",""
"МЕМУАРИСТ","Писатель","
Этот Чехов для мемуариста, как и творчество писателя в целом, - воплощение общероссийского безволия, мечтательности, болезненности, неподвижности (Мережк.). ","https://cyberleninka.ru/article/n/problema-dostovernosti-literaturnyh-memuarov-i-sovremennye-kontseptsii-neyrofiziologii-pamyati","",""
"МЕМУАРИСТ","Сочинитель","","","",""
"МЕМУАРИСТ","Создатель","","","",""
"МЕМУАРИСТ","Творец","","","",""
"МЕНИНГОКОКК","Кокк","Менингококк -  бактерия сферической или овальной формы","https://ru.wiktionary.org/wiki/%D0%BA%D0%BE%D0%BA%D0%BA#%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D0%BE%D0%BD%D0%B8%D0%BC%D1%8B","",""
"МЕНИНГОКОКК","Бактерия","Менингококк -  бактерия сферической или овальной формы","https://ru.wiktionary.org/wiki/%D0%BA%D0%BE%D0%BA%D0%BA#%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D0%BE%D0%BD%D0%B8%D0%BC%D1%8B","",""
"МЕНИНГОКОКК","Микроб","Менингококки (Neisseria meningitidis) – это грамотрицательные кокки, которые вызывают менингит и менингококкемию.","https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5-%D0%B1%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D0%B8/%D0%B3%D1%80%D0%B0%D0%BC%D0%BE%D1%82%D1%80%D0%B8%D1%86%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BA%D0%BE%D0%BA%D0%BA%D0%B8-%D0%B8-%D0%BA%D0%BE%D0%BA%D0%BA%D0%BE%D0%B1%D0%B0%D1%86%D0%B8%D0%BB%D0%BB%D1%8B/%D0%BC%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D0%BE%D0%BA%D0%BE%D0%BA%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F-%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D1%8F","",""
"МЕНИНГОКОКК","Микроорганизм","Менингококк как микроорганизм — все микроорганизмы имеют свою цикличность <...>","https://news.ngs.ru/more/66137095/","",""
"МЕНИНГОКОКК","Возбудитель"," Возбудитель – менингококк, неустойчив во внешней среде, гибнет на солнечном свету через 2-8 часов, в ультрафиолетовых лучах, при низких температурах – мгновенно.","http://www.minsksanepid.by/node/485","",""
"МЕНТОЛ","Эфирное масло","Ментол (также называемый l-ментол или (1R,2S,5R)-ментол) выделен из эфирного масла мяты (вместе с примесью ментона, ментилацетата и др. соединений),","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%82%D0%BE%D0%BB","",""
"МЕНТОЛ","Анестетик","Зачастую во время ангины мы выбираем леденцы с ментолом, потому что он является анестетиком.","https://www.letoile.ru/article/4972/","",""
"МЕНТОЛ","Обезболивающее","Раньше ментол использовали в качестве обезболивающего. С помощью мятных бальзамов лекари помогали пациентам избавиться от мигрени, тошноты и болях в желудке.","https://www.letoile.ru/article/4972/","",""
"МЕНТОЛ","Метаболит","Ментол – органическое вещество, важный вторичный метаболит растений семейства яснотковые, получают синтетически или выделяют из мятного эфирного масла.","https://24tv.ua/ru/medicine/diseases/mentol_d79","",""
"МЕНТОЛ","Органическое вещество","Ментол (от лат. Mentha — мята) — органическое вещество, важный вторичный метаболит растений семейства яснотковые, получают синтетически или выделяют из мятного эфирного масла. ","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%82%D0%BE%D0%BB","",""
"МЕНЬШЕВИК","Член партии","Меньшевик - член меньшевистской партии","https://ru.wiktionary.org/wiki/%D0%BC%D0%B5%D0%BD%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D0%BA","",""
"МЕНЬШЕВИК","Последователь","Меньшевик - последователь меньшивизма","https://clck.ru/MHkCM","",""
"МЕНЬШЕВИК","Приверженец","Меньшевик - приверженец меньшевизма","https://slovar.cc/rus/efremova-slovo/1119259.html","",""
"МЕНЬШЕВИК","Представитель","Меньшевики  - представители политического течения (фракции) в Российской Социал-демократической Рабочей партии","https://dic.academic.ru/dic.nsf/enc1p/29650","",""
"МЕНЬШЕВИК","Сторонник","Меньшевик - сторонник меньшевизма","https://dic.academic.ru/dic.nsf/es/112654/%D0%BC%D0%B5%D0%BD%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D0%BA","",""
"МЕРЗЛОТОВЕДЕНИЕ","Раздел геологии","Геокриология (мерзлотоведение) — раздел геологии и криологии, изучающий криолитозону (мёрзлую зону литосферы)","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D0%BA%D1%80%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МЕРЗЛОТОВЕДЕНИЕ","Наука ","Мерзлотоведение - наука о мёрзлых толщах в земной коре и о мёрзлых горных породах","https://dic.academic.ru/dic.nsf/ogegova/105842","",""
"МЕРЗЛОТОВЕДЕНИЕ","Отрасль знания","Геокриология как самостоятельная отрасль знаний о мёрзлых горных породах (почвах, грунтах) оформилась в СССР в 1920-х годах на стыке геологических, географических, геофизических и инженерно-технических дисциплин.","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D0%BA%D1%80%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МЕРЗЛОТОВЕДЕНИЕ","Научная дисциплина"," Научная дисциплина, изучающая условия формирования, историю развития, географическое распространение мерзлых горных пород, грунтов, почв и процессы, протекающие в них","http://poiskslov.com/word/%D0%BC%D0%B5%D1%80%D0%B7%D0%BB%D0%BE%D1%82%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/","",""
"МЕРЗЛОТОВЕДЕНИЕ","Институт ","Институт мерзлотоведения ө научно-исследовательский институт в области геокриологии, существовавший в СССР в 1939—1963 годах. ","https://clck.ru/MHnUQ","",""
"МЕСТОБЛЮСТИТЕЛЬ","Сановник","Местоблюститель - лицо, временно выполняющее обязанности высшего духовного сановника","https://dic.academic.ru/dic.nsf/ushakov/858958","",""
"МЕСТОБЛЮСТИТЕЛЬ","Член Священного Синода","Местоблюститель в Русской Православной Церкви один из постоянных членов Священного Синода","https://orthodoxy.academic.ru/527","",""
"МЕСТОБЛЮСТИТЕЛЬ","Исполняющий обязанности","Местоблюситель - персона, временно исполняющая обязанности какого-либо высшего духовного сановника или чиновника","https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BC%D0%B5%D1%81%D1%82%D0%BE%D0%B1%D0%BB%D1%8E%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C","",""
"МЕСТОБЛЮСТИТЕЛЬ","Архиерей ","Местоблюститель - архиерей , временно исполняющий обязанности предстоятеля Поместной Церкви в период до избрания нового предстоятеля","https://slovar.cc/rel/drevo/2302988.html","",""
"МЕСТОБЛЮСТИТЕЛЬ","Епископ","Патриарший местоблюститель в православии — епископ, временно исполняющий обязанности Патриарха как предстоятеля поместной Церкви.","https://clck.ru/MHnYo","",""
"МЕСЯЦЕСЛОВ","Календарь","Месяцеслов — православный церковный календарь","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%8F%D1%86%D0%B5%D1%81%D0%BB%D0%BE%D0%B2","",""
"МЕСЯЦЕСЛОВ","Календарное собрание","Месяцеслов — календарное собрание русских народных праздников, обрядов и обычаев, поверий и примет на каждый день.","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B5%D1%81%D1%8F%D1%86%D0%B5%D1%81%D0%BB%D0%BE%D0%B2#dict12","",""
"МЕСЯЦЕСЛОВ","Наименование справочников","Месяцеслов  — наименование в XVIII веке официальных справочников, издававшихся как централизованно, так и в губерниях и областях Российской империи.","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B5%D1%81%D1%8F%D1%86%D0%B5%D1%81%D0%BB%D0%BE%D0%B2#dict12","",""
"МЕСЯЦЕСЛОВ","Богослужебная книга","Месяцеслов - церковно богослужебная книга с указанием дней памяти святых, годового круга церковных праздников. ","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%81%D1%8F%D1%86%D0%B5%D1%81%D0%BB%D0%BE%D0%B2","",""
"МЕСЯЦЕСЛОВ","Жанр издания","Месяцеслов - жанр издания, в котором сведения (о природе, погоде, исторических датах и т. п.) приводятся в соответствии с днями месяца в течение всего года.","определение Google https://clck.ru/MHoAZ","",""
"МЕХМАТ","Факультет","Мехмат - механико-математический факультет университета","https://ru.wiktionary.org/wiki/%D0%BC%D0%B5%D1%85%D0%BC%D0%B0%D1%82#%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D0%BE%D0%BD%D0%B8%D0%BC%D1%8B","",""
"МЕХМАТ","","","","",""
"МЕХМАТ","Название","Мехмат — распространённое разговорное название механико-математических факультетов вузов","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%85%D0%BC%D0%B0%D1%82","",""
"МЕХМАТ","","","","",""
"МЕХМАТ","","","","",""
"МЕШАЛКА","Приспособление","Мешалка - приспособление для размешивания чего-либо","https://slovar.cc/rus/efremova-slovo/1119705.html","",""
"МЕШАЛКА","Предмет","Мешалка - предмет, которым перемешивают, переворачивают что-нибудь густое","https://slovar.cc/enc/slovar/1780003.html","",""
"МЕШАЛКА","Механическое устройство","Мешалка — механическое устройство для смешивания, перемешивания, диспергирования, циркуляции веществ, а также для поддержания однородности.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%88%D0%B0%D0%BB%D0%BA%D0%B0","",""
"МЕШАЛКА","Оборудование","Мешалка - оборудование или часть оборудования для смешивания, перемешивания, диспергирования, циркуляции веществ, а также для поддержания однородности.","https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BC%D0%B5%D1%88%D0%B0%D0%BB%D0%BA%D0%B0-","",""
"МЕШАЛКА","Коробка передач","Мешалка - коробка передач с педалью сцепления и ручным переключением, а также её ручка переключения","https://ru.wiktionary.org/wiki/%D0%BC%D0%B5%D1%88%D0%B0%D0%BB%D0%BA%D0%B0","",""
"МИКОЛОГИЯ","Раздел ботаники","Микология - один из разделов ботаники","https://slovar.cc/enc/bse/2017883.html","",""
"МИКОЛОГИЯ","Научная дисциплина","Микология - научная дисциплина, изучающая грибы.","https://slovar.cc/enc/brokhauz-efron2/1915553.html","",""
"МИКОЛОГИЯ","Раздел биологии","Микология — раздел биологии","https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BC%D0%B8%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МИКОЛОГИЯ","Наука о грибах","Микология -  наука о грибах","https://slovar.cc/enc/bse/2017883.html","",""
"МИКОЛОГИЯ","Учение","Микология - учение о грибах","https://dic.academic.ru/dic.nsf/dic_fwords/21447","",""
"МИКОТОКСИН","Токсин"," Микотоксин - токсин, низкомолекулярный вторичный метаболит, вырабатываемый микроскопическими плесневыми грибами ","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BA%D0%BE%D1%82%D0%BE%D0%BA%D1%81%D0%B8%D0%BD","",""
"МИКОТОКСИН","Биологические контаминанты","Микотоксин являются биологическими контаминантами — природными загрязнителями зерна злаковых, бобовых, семян подсолнечника, а также овощей и фруктов.","https://clck.ru/MHpSh","",""
"МИКОТОКСИН","Вторичные метаболиты","Микотоксины - вторичные метаболиты некоторых видов грибов","https://dic.academic.ru/dic.nsf/dic_microbiology/637/%D0%BC%D0%B8%D0%BA%D0%BE%D1%82%D0%BE%D0%BA%D1%81%D0%B8%D0%BD%D1%8B","",""
"МИКОТОКСИН","Соединение"," Микотоксины – соединения, накапливающиеся в результате жизнедеятельности плесневых грибов, обладающие токсичным действием","http://elib.bsu.by/bitstream/123456789/163706/1/Melsitova.pdf","",""
"МИКОТОКСИН","Загрязнитель зерна"," Микотоксины являются природными загрязнителями зерна злаковых, бобовых, семян подсолнечника, а также овощей и фруктов.","https://dic.academic.ru/dic.nsf/ruwiki/1036075/%D0%9C%D0%B8%D0%BA%D0%BE%D1%82%D0%BE%D0%BA%D1%81%D0%B8%D0%BD ","",""
"МИКСТ","Смешанное голосообразование","Микст  — смешанное голосообразование , при котором голос звучит на всём своём диапазоне ровно, без регистровых переходов","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D0%BA%D1%81%D1%82#dict12","",""
"МИКСТ","Соревнование","Микст — соревнование спортивных команд (как правило пар или эстафетных команд), в которых присутствуют спортсмены как мужского, так и женского пола","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D1%81%D1%82","",""
"МИКСТ","Вид игры","Микст  — вид игры в теннис ( лаун - или настольный ), в бадминтон , когда пара, состоящая из мужчины и женщины, играет против другой пары, тоже состоящей из мужчины и женщины.","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D0%BA%D1%81%D1%82#dict12","",""
"МИКСТ","Регистр голоса","Микст - это регистр голоса, в котором смешаны грудное и головное резонирование","http://wiki.vocalmechanika.ru/mikst","",""
"МИКСТ","Состязание","Микст - состязание, в котором участвуют смешанные команды, состоящие из мужчин и женщин","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BA%D1%81%D1%82","",""
"МИЛЛИВАТТ","Ватт","Милливатт - одна тысячная ватта ","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BB%D0%BB%D0%B8%D0%B2%D0%B0%D1%82%D1%82","",""
"МИЛЛИВАТТ","Единица измерения","Миливатт - единица измерения мощности","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%82%D1%82#%D0%9A%D1%80%D0%B0%D1%82%D0%BD%D1%8B%D0%B5_%D0%B8_%D0%B4%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%86%D1%8B","",""
"МИЛЛИВАТТ","Количество","","","",""
"МИЛЛИВАТТ","Свойство","","","",""
"МИЛЛИВАТТ","Величина","","","",""
"МИНЕРАЛОГИЯ","Наука о минералах","Минералогия - наука, занимающаяся изучением минералов и их свойств","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МИНЕРАЛОГИЯ","Научная дисциплина","Минералогия - научная дисциплина, изучающая минералы, их состав, свойства, структуру, условия образования, нахождения и изменения в природе.","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МИНЕРАЛОГИЯ","Геологическая наука","Минералогия - одна из древнейших геологических наук","http://wiki.web.ru/wiki/%D0%9C%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F","",""
"МИНЕРАЛОГИЯ","Вещество","Минералогия – вещество, находящееся на специфическом (минеральном) уровне структурной организации материи ","https://bigenc.ru/geology/text/2215002","",""
"МИНЕРАЛОГИЯ","Область знаний","Минералогия – область знаний о свойствах и составе минералов, геологических условиях и физико-химической обстановке образования минералов, механизмах зарождения, роста, изменения и разрушения минералов, минералогических критериях поиска и оценки рудного и нерудного сырья, методах изучения минералов","https://www.igm.nsc.ru/index.php/obrazov/dissovety/spravochnaya-informatsiya?id=1310:-250005&catid=105:aboutinst","",""
"МИНИАТЮРИЗАЦИЯ","Уменьшение размера","Миниатюризация - уменьшение размеров, веса","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BD%D0%B8%D0%B0%D1%82%D1%8E%D1%80%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F","",""
"МИНИАТЮРИЗАЦИЯ","Направление в конструировании","Миниатюризация - направление в конструировании приборов, механизмов, машин и т. д.","https://dic.academic.ru/dic.nsf/polytechnic/5254/%D0%9C%D0%98%D0%9D%D0%98%D0%90%D0%A2%D0%AE%D0%A0%D0%98%D0%97%D0%90%D0%A6%D0%98%D0%AF","",""
"МИНИАТЮРИЗАЦИЯ","Метод создания","Миниатюризация — методы создания аппаратуры, приборов, устройств с уменьшенными размерами и массой на основе применения блоков и узлов из миниатюрных элементов и увеличения плотности их монтажа. ","https://polytechnic_dictionary.academic.ru/1343/%D0%9C%D0%98%D0%9D%D0%98%D0%90%D0%A2%D0%AE%D0%A0%D0%98%D0%97%D0%90%D0%A6%D0%98%D0%AF","",""
"МИНИАТЮРИЗАЦИЯ","","","","",""
"МИНИАТЮРИЗАЦИЯ","","","","",""
"МИНОИСКАТЕЛЬ","Электронный прибор","Миноискатель  - электронный прибор, позволяющий обнаруживать металлические предметы (металл) в нейтральной или слабопроводящей среде за счёт их проводимости","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BD%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D1%8C","",""
"МИНОИСКАТЕЛЬ","Электромагнитный прибор","Электромагнитный прибор - электромагнитный прибор для нахождения мин","https://dic.academic.ru/dic.nsf/ogegova/107614/%D0%9C%D0%98%D0%9D%D0%9E%D0%98%D0%A1%D0%9A%D0%90%D0%A2%D0%95%D0%9B%D0%AC","",""
"МИНОИСКАТЕЛЬ","Аппарат","Миноискатель  - аппарат для нахождения заложенных мин","https://clck.ru/MJ4NM","",""
"МИНОИСКАТЕЛЬ","Сапёр","Миноискатель - сапёр, специалист по обнаружению заложенных мин.","https://clck.ru/MJ4NM","",""
"МИНОИСКАТЕЛЬ","Специализированный прибор","Миноискатель – это специализированный прибор для поиска объектов боевого назначения из металла с высокой проводимостью.","https://radiowave.com.ua/catalog/racii-iaksessyaru/poiskovaya-tehnika/minoiskateli","",""
"МИНОРИТАРИЙ","Акционер","Миноритарий - акционер компании, размер пакета акций которого не позволяет ему напрямую участвовать в управлении компанией","https://ru.wiktionary.org/wiki/%D0%BC%D0%B8%D0%BD%D0%BE%D1%80%D0%B8%D1%82%D0%B0%D1%80%D0%B8%D0%B9","",""
"МИНОРИТАРИЙ","Держатель акций","Миноритарий  – это держатель пакета акций акционерного общества, размер которого настолько мал, что не позволяет ему участвовать в управлении компанией.","https://moneymakerfactory.ru/spravochnik/chto-takoe-minoritarii/","",""
"МИНОРИТАРИЙ","Человек","Миноритарий – это человек, от которого ничего не зависит в бизнесе (инвестициях)
","https://uristvzakon.ru/dopolnitelnyj-vypusk-akcij-ao-kak-minoritariyu-zashhitit-prava.html","",""
"МИНОРИТАРИЙ","Физическое лицо","Миноритарий – это физическое лицо, у которого минимум прав перед другими акционерами."," https://uristvzakon.ru/dopolnitelnyj-vypusk-akcij-ao-kak-minoritariyu-zashhitit-prava.html","",""
"МИНОРИТАРИЙ","Юридическое лицо","Миноритарный акционер – это  юридическое лцио, у которого минимум прав перед другими акционерами","https://uristvzakon.ru/dopolnitelnyj-vypusk-akcij-ao-kak-minoritariyu-zashhitit-prava.html","",""
"МИРРА","Вещество","Мирра - хорошо известное благовонное вещество, употреблявшееся и в медицине","https://slovar.cc/rel/bibl/2310361.html","",""
"МИРРА","Смола","Мирра  - благовонная и горькая смола с камедью от африканских и аравийских деревьев из семейства Бурзеровые.","https://slovar.cc/rel/drevo/2303071.html","",""
"МИРРА","Растение","Мирра - растение, источающее такую смолу","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D1%80%D1%80%D0%B0","",""
"МИРРА","Персонаж","Мирра - персонаж древнегреческой мифологии, дочь царя Кипра Кинира и Кенхреиды, мать Адониса ","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D1%80%D1%80%D0%B0","",""
"МИРРА","Благовоние","Мирра, как благовоние, всегда потреблялась в больших количествах, и в подготовке религиозных и ритуальных воскурний, и в ароматных маслах, и как лекарство, и временам мирра ценилась намного выше, чем ладан","https://kremchik.ua/news/454/mirra_dragocennoe_blagovonie.html","",""
"МИСТИК","Приверженец","Мистик - приверженец мистицизма","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D1%81%D1%82%D0%B8%D0%BA","",""
"МИСТИК","Человек","Мистик - человек,  который верит в существование сверхъестественных сил, склонный к мистике","https://dic.academic.ru/dic.nsf/dmitriev/2355/%D0%BC%D0%B8%D1%81%D1%82%D0%B8%D0%BA","",""
"МИСТИК","Последователь","Мистик - последователь мистицизма","https://dic.academic.ru/dic.nsf/dic_fwords/21858/%D0%9C%D0%98%D0%A1%D0%A2%D0%98%D0%9A","",""
"МИСТИК","Придворный чиновник","Мистик - придворный чиновник, старший член тайного совета при дворе греческих императоров","https://dic.academic.ru/dic.nsf/dic_fwords/21858/%D0%9C%D0%98%D0%A1%D0%A2%D0%98%D0%9A","",""
"МИСТИК","Сторонник","Мистик - сторонник какой-нибудь мистической теории, мистического учения
","https://dic.academic.ru/dic.nsf/ushakov/861162","",""
"МИЦЕЛИЙ","Тело гриба","Мицелий - вегетативное тело гриба, состоящее из сплетения тончайших нитей","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D1%86%D0%B5%D0%BB%D0%B8%D0%B9","",""
"МИЦЕЛИЙ","Грибница","Мицелий - то же, что грибница в 1 знач.","https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BC%D0%B8%D1%86%D0%B5%D0%BB%D0%B8%D0%B9","",""
"МИЦЕЛИЙ","Грибные нити","Мицелий - грибные нити, разрастающиеся в питательной среде и представляющие вегетативные органы гриба","https://dic.academic.ru/dic.nsf/dic_fwords/21377","",""
"МИЦЕЛИЙ","","","","",""
"МИЦЕЛИЙ","","","","",""
"МНЕМОТЕХНИКА","Прием запоминания","Мнемотехника - специально разработанные приёмы и способы, облегчающие запоминание ","https://slovar.cc/enc/bse/2018694.html","",""
"МНЕМОТЕХНИКА","Цирковой номер ","Мнемотехника -  цирковой и эстрадный номер, основанный на искусстве запоминания","https://slovar.cc/enc/bolshoy/2102151.html","",""
"МНЕМОТЕХНИКА","Система","Мнемотехника - система «внутреннего письма», основанная на непосредственной записи в мозг связей между зрительными образами, обозначающими значимые элементы запоминаемой информации","https://ru.wikipedia.org/wiki/%D0%9C%D0%BD%D0%B5%D0%BC%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0","",""
"МНЕМОТЕХНИКА","Искусство запоминания","Мнемотехника — искусство запоминать, волшебная пилюля позволяющая откладывать в памяти огромные массивы информации за считанные часы или комплекс упражнений требующий ежедневных подходов и тренировок?","https://bukva.info/blog/mnemotehnika-osnovy-tehniki-pamyati/","",""
"МНЕМОТЕХНИКА","Набор приемов","Мнемотехникой называется набор приемов, которые позволяют за короткое время запоминать большие объемы самой разной информации","https://bukva.info/blog/mnemotehnika-osnovy-tehniki-pamyati/","",""
